vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
CCSBT-FV05392,512003057,RAINBOWHARVEST,ZMG2476,,NZL,2022-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05430|IDN-16721|IMO-8528187|IOTC-3805,525700331,LINGSAR17,YEC5502,8528187,IDN,2019-11-11 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05430|IDN-16721|IMO-8528187|IOTC-3805,525700331,LINGSAR17,YEC5502,8528187,IDN,2019-11-11 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV05449|IDN-19737|IOTC-9838|IMO-8527030,525700747,SURYATERANG88,YEB4208,8527030,IDN,2012-04-19 00:00:00 UTC,2018-05-13 00:00:00 UTC,CCSBT
CCSBT-FV05449|IDN-19737|IOTC-9838|IMO-8527030,525700747,SURYATERANG88,YEB4208,8527030,IDN,2018-09-04 00:00:00 UTC,2021-10-01 00:00:00 UTC,CCSBT
CCSBT-FV05449|IDN-19737|IOTC-9838|IMO-8527030,525700747,SURYATERANG88,YEB4208,8527030,IDN,2012-04-19 00:00:00 UTC,2018-05-13 00:00:00 UTC,IOTC
CCSBT-FV05449|IDN-19737|IOTC-9838|IMO-8527030,525700747,SURYATERANG88,YEB4208,8527030,IDN,2018-09-04 00:00:00 UTC,2021-10-07 00:00:00 UTC,IOTC
CCSBT-FV05453|IMO-8648327|TWN-CT7-0520,416313000,YILONG202,BI2520,8648327,TWN,2012-01-01 00:00:00 UTC,2014-09-30 00:00:00 UTC,CCSBT
CCSBT-FV05453|IMO-8648327|TWN-CT7-0520,416313000,YILONG202,BI2520,8648327,TWN,2020-03-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05453|IMO-8648327|TWN-CT7-0520,416313000,YILONG202,BI2520,8648327,TWN,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV05453|IMO-8648327|TWN-CT7-0520,416313000,YILONG202,BI2520,8648327,TWN,2021-04-21 00:00:00 UTC,2021-09-06 00:00:00 UTC,SIOFA
CCSBT-FV05457|IMO-8673413|TWN-CT6-1093,416074900,HOMESHEEN,BH3093,8673413,TWN,2012-01-01 00:00:00 UTC,2012-03-31 00:00:00 UTC,CCSBT
CCSBT-FV05457|IMO-8673413|TWN-CT6-1093,416074900,HOMESHEEN,BH3093,8673413,TWN,2017-01-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,IOTC
CCSBT-FV05458|TWN-CT6-1099|IMO-8648432,416044600,HONGDA1,BH3099,8648432,TWN,2012-01-01 00:00:00 UTC,2014-09-30 00:00:00 UTC,CCSBT
CCSBT-FV05458|TWN-CT6-1099|IMO-8648432,416044600,HONGDA1,BH3099,8648432,TWN,2015-04-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05458|TWN-CT6-1099|IMO-8648432,416044600,HONGDA1,BH3099,8648432,TWN,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV05458|TWN-CT6-1099|IMO-8648432,416044600,HONGDA1,BH3099,8648432,TWN,2020-02-27 00:00:00 UTC,2021-10-14 00:00:00 UTC,SIOFA
CCSBT-FV05458|TWN-CT6-1099|IMO-8648432,416044600,HONGDA1,BH3099,8648432,TWN,2022-03-25 00:00:00 UTC,2022-07-01 00:00:00 UTC,SIOFA
CCSBT-FV05459|IMO-8673140|TWN-CT6-1172,416772000,SHANGFENG3,BH3172,8673140,TWN,2012-01-01 00:00:00 UTC,2012-03-31 00:00:00 UTC,CCSBT
CCSBT-FV05459|IMO-8673140|TWN-CT6-1172,416772000,SHANGFENG3,BH3172,8673140,TWN,2015-04-01 00:00:00 UTC,2020-03-01 00:00:00 UTC,CCSBT
CCSBT-FV05459|IMO-8673140|TWN-CT6-1172,416772000,SHANGFENG3,BH3172,8673140,TWN,2021-03-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05459|IMO-8673140|TWN-CT6-1172,416772000,SHANGFENG3,BH3172,8673140,TWN,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV05459|IMO-8673140|TWN-CT6-1172,416772000,SHANGFENG3,BH3172,8673140,TWN,2020-04-30 00:00:00 UTC,2020-12-31 00:00:00 UTC,SIOFA
