vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
CCSBT-FV04945|IMO-8572487|IOTC-2536,525004429,DWISUKSESGEMILANG,YEA4429,8572487,IDN,2012-01-01 00:00:00 UTC,2013-11-13 00:00:00 UTC,IOTC
CCSBT-FV04947|IDN-9916|IMO-8548060|IOTC-2539,525005541,DWISUKSESSAMUDRA,YEA5541,8548060,IDN,2012-01-01 00:00:00 UTC,2013-07-03 00:00:00 UTC,CCSBT
CCSBT-FV04947|IDN-9916|IMO-8548060|IOTC-2539,525700003,DWISUKSESSAMUDRA,YEA5541,8548060,IDN,2012-01-01 00:00:00 UTC,2013-07-03 00:00:00 UTC,CCSBT
CCSBT-FV04947|IDN-9916|IMO-8548060|IOTC-2539,525005541,DWISUKSESSAMUDRA,YEA5541,8548060,IDN,2012-07-04 00:00:00 UTC,2013-07-04 00:00:00 UTC,IOTC
CCSBT-FV04947|IDN-9916|IMO-8548060|IOTC-2539,525700003,DWISUKSESSAMUDRA,YEA5541,8548060,IDN,2012-07-04 00:00:00 UTC,2013-07-04 00:00:00 UTC,IOTC
CCSBT-FV04948|IOTC-4701,525005360,DWISUKSESSEJAHTERA,YE5360,,IDN,2012-01-01 00:00:00 UTC,2012-05-04 00:00:00 UTC,CCSBT
CCSBT-FV04948|IOTC-4701,525005360,DWISUKSESSEJAHTERA,YE5360,,IDN,2013-05-05 00:00:00 UTC,2014-05-04 00:00:00 UTC,CCSBT
CCSBT-FV04948|IOTC-4701,525005360,DWISUKSESSEJAHTERA,YE5360,,IDN,2012-01-01 00:00:00 UTC,2015-05-05 00:00:00 UTC,IOTC
CCSBT-FV04949|IDN-1217|IOTC-2540,525005533,DWISUKSESSEJATI,YEA5533,,IDN,2013-05-15 00:00:00 UTC,2015-05-14 00:00:00 UTC,CCSBT
CCSBT-FV04949|IDN-1217|IOTC-2540,525700738,DWISUKSESSEJATI,YEA5533,,IDN,2013-05-15 00:00:00 UTC,2015-05-14 00:00:00 UTC,CCSBT
